Sample,Sample_ID,Flag,Device,Latitude,Longitude,Water_depth,Ocean,Sample_depth_top,Sample_depth_bottom,Sample_depth_average,Author,Journal,Year,Publication_doi,Resource_doi,Comment,Database,Type,Count_min,Count,Dentigloborotalia_anfracta,Globorotalia_cavernula,Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii,Globorotalia_scitula,Globorotalia_truncatulinoides,Globorotalia_tumida,Globorotalia_ungulata,Globorotalia_theyeri,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globoquadrina_conglomerata,Globorotaloides_hexagonus,Berggrenia_pumilio,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Globigerinella_adamsi,Turborotalita_quinqueloba,Turborotalita_humilis,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Candeina_nitida,Globigerinita_glutinata,Globigerinita_uvula,Globigerinita_minuta,Tenuitella_iota,Hastigerina_pelagica,Hastigerinella_digitata,Globorotalia_menardii_&_Globorotalia_tumida,Globigerinoides_ruber_&_Globigerinoides_white,Turborotalita_humilis_&_Berggrenia_pumilio,Globorotalia_truncatulinoides_dextral_coiling,Globorotalia_truncatulinoides_sinistral_coiling,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Turborotalita_quinqueloba_dextral_coiling,Turborotalita_quinqueloba_sinistral_coiling,unidentified,T_surface,T_400,T_gradient,S_surface,S_400,Si_surface,Si_400,O_surface,O_400,CO2_surface,CO2_400
A15-559F,CLIMAP_0001,1,Piston,8.983,51.733,3797.0,129.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,"coordinates corrected via depth control, G. truncatulinoides subspecies set to N/A",33,1,,367.0,0.0,,0.0,0.0,0.076294278,0.0,0.0,0.016348774,,,0.0,0.029972752,0.0,0.002724796,0.005449591,0.0,0.005449591,0.0,0.190735695,0.005449591,0.0,0.0,0.217983651,0.019073569,0.0,0.005449591,0.002724796,0.010899183,0.005449591,0.0,0.0,0.0,0.010899183,0.002724796,0.0,0.359673025,0.0,,0.0,0.0,0.0,,,,,,0.0,0.019073569,,,0.032697548,26.888330459594727,11.46027946472168,15.428050994873047,35.57371139526367,35.279727935791016,3.859358787536621,33.90789031982422,212.20054626464844,53.04234313964844,2003.7589111328125,2236.01904296875
A152-84,CLIMAP_0002,0,Piston,44.3498,-30.267,2750.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,486.0,0.0,,0.0,0.032921811,0.0,0.08436214,0.034979424,0.0,,,0.137860082,0.00617284,0.172839506,0.016460905,0.0,0.0,0.0,0.0,0.125514403,0.131687243,0.0,0.004115226,0.057613169,0.004115226,0.008230453,0.008230453,0.0,0.008230453,0.016460905,0.0,0.020576132,0.0,0.012345679,0.0,0.0,0.076131687,0.0,,0.0,0.0,0.0,,,,0.020576132,0.014403292,0.004115226,0.0,,,0.041152263,18.15941047668457,12.43264102935791,5.72676944732666,35.89042282104492,35.62919998168945,1.3170772790908813,5.221081256866455,236.8485870361328,213.63937377929688,2060.21435546875,2137.144775390625
A157-3,CLIMAP_0004,0,Piston,50.9332,-41.75,4025.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,702.0,0.0,,0.0,0.01994302,0.001424501,0.0,0.018518519,0.0,,,0.230769231,0.011396011,0.317663818,0.133903134,0.0,0.0,0.0,0.0,0.213675214,0.004273504,0.001424501,0.0,0.005698006,0.001424501,0.0,0.0,0.0,0.0,0.0,0.0,0.005698006,0.0,0.0,0.0,0.0,0.01994302,0.0,,0.0,0.0,0.0,,,,0.007122507,0.011396011,0.0,0.001424501,,,0.014245014,13.032772064208984,6.701771259307861,6.331000804901123,34.82744598388672,34.986717224121094,2.5443978309631348,10.893811225891113,263.3632507324219,228.74302673339844,2079.899658203125,2160.45361328125
A164-13,CLIMAP_0005,1,Piston,35.7167,-67.3333,5103.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,452.0,0.0,,0.0,0.059734513,0.033185841,0.0,0.039823009,0.039823009,,,0.099557522,0.075221239,0.024336283,0.0,0.048672566,0.0,0.0,0.0,0.234513274,0.011061947,0.006637168,0.0,0.168141593,0.079646018,0.0,0.002212389,0.0,0.017699115,0.004424779,0.0,0.0,0.002212389,0.0,0.002212389,0.0,0.015486726,0.0,,0.0,0.0,0.0,,,,0.006637168,0.033185841,0.015486726,0.064159292,,,0.03539823,21.738914489746094,18.25935173034668,3.479562759399414,36.471561431884766,36.57313919067383,0.5525793433189392,1.080049991607666,218.97296142578125,206.32876586914062,2049.249267578125,2096.625732421875
A164-15,CLIMAP_0006,0,Piston,36.1333,-68.9167,4624.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,374.0,0.0,,0.002673797,0.026737968,0.056149733,0.0,0.029411765,0.053475936,,,0.168449198,0.082887701,0.085561497,0.002673797,0.050802139,0.0,0.0,0.0,0.173796791,0.021390374,0.005347594,0.0,0.14171123,0.040106952,0.0,0.005347594,0.0,0.018716578,0.0,0.0,0.0,0.002673797,0.0,0.002673797,0.0,0.002673797,0.0,,0.0,0.0,0.0,,,,0.0,0.029411765,0.016042781,0.024064171,,,0.026737968,22.476869583129883,18.374032974243164,4.102836608886719,36.541133880615234,36.58109664916992,0.7373840808868408,1.228066086769104,212.52488708496094,204.3148651123047,2044.05419921875,2110.56298828125
A164-16,CLIMAP_0007,1,Piston,36.15,-69.15,4624.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,457.0,0.0,,0.0,0.037199125,0.006564551,0.0,0.072210066,0.013129103,,,0.067833698,0.078774617,0.037199125,0.0,0.030634573,0.0,0.0,0.0,0.129102845,0.035010941,0.006564551,0.0,0.231947484,0.09190372,0.0,0.015317287,0.004376368,0.024070022,0.006564551,0.0,0.0,0.0,0.0,0.002188184,0.0,0.074398249,0.0,,0.0,0.0,0.0,,,,0.015317287,0.056892779,0.035010941,0.056892779,,,0.035010941,22.231290817260742,17.730119705200195,4.501171112060547,36.479862213134766,36.4857063293457,0.8657124638557434,2.23006534576416,212.23988342285156,200.865966796875,2046.0838623046875,2121.2626953125
A164-17,CLIMAP_0008,1,Piston,35.7833,-68.9333,4824.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,403.0,0.0,,0.0,0.049627792,0.034739454,0.0,0.054590571,0.042183623,,,0.151364764,0.076923077,0.066997519,0.00248139,0.014888337,0.0,0.0,0.0,0.171215881,0.014888337,0.009925558,0.007444169,0.161290323,0.062034739,0.0,0.00248139,0.004962779,0.012406948,0.004962779,0.0,0.0,0.00248139,0.0,0.0,0.0,0.012406948,0.0,,0.0,0.0,0.0,,,,0.00248139,0.052109181,0.012406948,0.049627792,,,0.039702233,21.036069869995117,18.671123504638672,2.3649463653564453,36.52275848388672,36.62629699707031,0.6541550159454346,0.6854348182678223,220.70094299316406,207.38156127929688,2050.368896484375,2097.25
A164-23,CLIMAP_0009,1,Piston,36.2167,-69.4,4512.0,7.0,0.0,0.01,0.005,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,sample depth information from duplicate sample,13,1,,423.0,0.0,,0.002364066,0.073286052,0.023640662,0.0,0.059101655,0.016548463,,,0.101654846,0.061465721,0.054373522,0.0,0.042553191,0.0,0.0,0.0,0.158392435,0.026004728,0.007092199,0.002364066,0.191489362,0.085106383,0.0,0.007092199,0.002364066,0.023640662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044917258,0.0,,0.0,0.0,0.0,,,,0.0,0.059101655,0.030732861,0.054373522,,,0.016548463,22.231290817260742,17.730119705200195,4.501171112060547,36.479862213134766,36.4857063293457,0.8657124638557434,2.23006534576416,212.23988342285156,200.865966796875,2046.0838623046875,2121.2626953125
A167-12,CLIMAP_0010,0,Piston,31.8333,-74.35,4700.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,519.0,0.0,,0.0,0.044315992,0.038535645,0.0,0.113680154,0.036608863,,,0.063583815,0.082851638,0.0,0.0,0.034682081,0.0,0.0,0.0,0.065510597,0.019267823,0.030828516,0.0,0.32177264,0.036608863,0.0,0.0,0.001926782,0.044315992,0.003853565,0.0,0.0,0.001926782,0.0,0.001926782,0.0,0.040462428,0.0,,0.0,0.0,0.0,,,,0.003853565,0.10982659,0.009633911,0.026974952,,,0.01734104,20.659425735473633,18.066164016723633,2.59326171875,36.550750732421875,36.51774597167969,0.8193914294242859,1.5845125913619995,228.01275634765625,206.64797973632812,2036.7802734375,2088.5615234375
A167-13,CLIMAP_0011,0,Piston,31.65,-75.35,2880.0,7.0,,,,CLIMAP Project Members,Geological Society of America,1981,,doi:10.1594/PANGAEA.51927,,1,1,,779.0,0.0,,0.0,0.02182285,0.032092426,0.001283697,0.106546855,0.006418485,,,0.006418485,0.023106547,0.007702182,0.0,0.03465982,0.0,0.0,0.0,0.016688062,0.088575096,0.007702182,0.030808729,0.353016688,0.083440308,0.01283697,0.002567394,0.0,0.052631579,0.016688062,0.0,0.0,0.003851091,0.006418485,0.0,0.001283697,0.066752246,0.0,,0.0,0.0,0.0,,,,0.025673941,0.080872914,0.008985879,0.074454429,,,0.016688062,22.08411979675293,17.87394142150879,4.210178375244141,36.461307525634766,36.48955535888672,0.8932937979698181,1.8407607078552246,222.28555297851562,203.72276306152344,2027.2181396484375,2094.064208984375
